NES,Batman Returns,3,Normal clear,02/01/23
FDS,Ai Senshi Nicol,3,Normal clear,02/02/23
SNES,Axelay,4,Easy clear,02/03/23
FAM,Crisis Force,3,Easy clear,02/03/23
FAM,Esper Dream 2,3,Normal clear,02/04/23
NES,Jackal,3,Normal clear,02/05/23
FAM,Goonies,3,Normal clear,02/05/23
NES,Bucky O'Hare,,,x
FAM,Hi no Tori Hououhen: Gaou no Bouken,,,x
FAM,Kekkyoku Nankyoku Daibouken,,,x
NES,Road Fighter,,,x
SNES,Gokujo Parodius!,4,Dracula – Any SS; Full Lives + Credits; Diff 1,02/10/23
NES,Monster in My Pocket,3,Frankenstein – Any SS; Clear,02/15/23